Name,Year of Release,Genres,Rating,Actors,Director,Description,Image
Moana,2016,Animation Adventure Comedy ,7.6,Auli'iCravalho DwayneJohnson RachelHouse ,RonClements,"In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right.","https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Operation Fortune: Ruse de Guerre,2023,Action Comedy Thriller ,6.3,JasonStatham AubreyPlaza CaryElwes ,GuyRitchie,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,"https://m.media-amazon.com/images/M/MV5BNjcxOTJhZTEtMWFiYi00NTkwLTlkMzktZDQwMGQ0ZjM3YWU2XkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Spider-Man: Into the Spider-Verse,2018,Animation Action Adventure ,8.4,ShameikMoore JakeJohnson HaileeSteinfeld ,BobPersichetti,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Irishman,2019,Biography Crime Drama ,7.8,RobertDeNiro AlPacino JoePesci ,MartinScorsese,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.","https://m.media-amazon.com/images/M/MV5BMGUyM2ZiZmUtMWY0OC00NTQ4LThkOGUtNjY2NjkzMDJiMWMwXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Basic Instinct,1992,Drama Mystery Thriller ,7.1,MichaelDouglas SharonStone GeorgeDzundza ,PaulVerhoeven,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,"https://m.media-amazon.com/images/M/MV5BMzlmYTVlYjQtNDY5OS00ZDI5LWEwMTEtNGJjNTA3NTU2MmRjXkEyXkFqcGdeQXVyMTYyODkzNzU4._V1_QL75_UX72_CR0,0,72,107_.jpg"
Sing 2,2021,Animation Adventure Comedy ,7.3,MatthewMcConaughey ReeseWitherspoon ScarlettJohansson ,GarthJennings,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"https://m.media-amazon.com/images/M/MV5BMWRiZGQ1NDMtODQ2OS00MDlhLWJkZGYtM2ZmNjlhZThjOWRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,4,72,107_.jpg"
The Thing,1982,Horror Mystery Sci-Fi ,8.2,KurtRussell WilfordBrimley KeithDavid ,JohnCarpenter,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"https://m.media-amazon.com/images/M/MV5BNGViZWZmM2EtNGYzZi00ZDAyLTk3ODMtNzIyZTBjN2Y1NmM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Martyrs,2008,Horror ,7,MorjanaAlaoui MylèneJampanoï CatherineBégin ,PascalLaugier,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.","https://m.media-amazon.com/images/M/MV5BYTY0NTZlZjYtNWRmZi00MGRjLTk4ZDctMjE4NjBiZTUyNGNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY107_CR1,0,72,107_.jpg"
Alita: Battle Angel,2019,Action Adventure Sci-Fi ,7.3,RosaSalazar ChristophWaltz JenniferConnelly ,RobertRodriguez,"A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.","https://m.media-amazon.com/images/M/MV5BMTQzYWYwYjctY2JhZS00NTYzLTllM2UtZWY5ZTk0NmYwYzIyXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Nymphomaniac: Vol. I,2013,Drama ,6.9,CharlotteGainsbourg StellanSkarsgård StacyMartin ,LarsvonTrier,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.,"https://m.media-amazon.com/images/M/MV5BMjA3Njc5MjI5Ml5BMl5BanBnXkFtZTgwNTY3Mjg3MDE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
