Name,Year of Release,Genres,Rating,Actors,Director,Description,Image
Road House,2024,Action Thriller ,6.2,JakeGyllenhaal DanielaMelchior ConorMcGregor ,DougLiman,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.","https://m.media-amazon.com/images/M/MV5BNTFiNTMxNTQtM2EzOS00NWNhLWFmNzctNjU5ODIzNDIzMzYzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Dune: Part Two,2024,Action Adventure Drama ,8.8,TimothéeChalamet Zendaya RebeccaFerguson ,DenisVilleneuve,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,"https://m.media-amazon.com/images/M/MV5BN2QyZGU4ZDctOWMzMy00NTc5LThlOGQtODhmNDI1NmY5YzAwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Godzilla x Kong: The New Empire,2024,Action Adventure Sci-Fi ,6.6,RebeccaHall BrianTyreeHenry DanStevens ,AdamWingard,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.","https://m.media-amazon.com/images/M/MV5BY2QwOGE2NGQtMWQwNi00M2IzLThlNWItYWMzNGQ5YWNiZDA4XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Ghostbusters: Frozen Empire,2024,Adventure Comedy Fantasy ,6.5,PaulRudd CarrieCoon FinnWolfhard ,GilKenan,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.","https://m.media-amazon.com/images/M/MV5BNGE5MWJmZWYtN2ZlMi00ZjY1LTlhYTUtMzQ2Y2IxZWQyYTA2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,0,72,107_.jpg"
Poor Things,2023,Comedy Drama Romance ,8,EmmaStone MarkRuffalo WillemDafoe ,YorgosLanthimos,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.","https://m.media-amazon.com/images/M/MV5BNGIyYWMzNjktNDE3MC00YWQyLWEyMmEtN2ZmNzZhZDk3NGJlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,0,72,107_.jpg"
Road House,1989,Action Thriller ,6.7,PatrickSwayze KellyLynch SamElliott ,RowdyHerrington,"A bouncer hired to clean up the baddest honkytonk in a Missouri town. Armed with a black belt in karate and a degree in philosophy, Patrick Swayze sets out to tame the Double Deuce for its owner.","https://m.media-amazon.com/images/M/MV5BMTU1MTE2Mjk2OF5BMl5BanBnXkFtZTcwMTUzNjYzNA@@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Beetlejuice Beetlejuice,2024,Comedy Fantasy Horror ,,,,"This is a follow-up to the comedy Beetlejuice (1988), about a ghost who's recruited to help haunt a house.","https://m.media-amazon.com/images/M/MV5BYTk2YjE4MjgtYWEzYy00NzY3LTk4MzktZTNhZjlhOTJhNDZjXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_QL75_UY107_CR7,0,72,107_.jpg"
Dune: Part One,2021,Action Adventure Drama ,8,TimothéeChalamet RebeccaFerguson Zendaya ,DenisVilleneuve,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"https://m.media-amazon.com/images/M/MV5BMDQ0NjgyN2YtNWViNS00YjA3LTkxNDktYzFkZTExZGMxZDkxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Damsel,2024,Action Adventure Fantasy ,6.1,MillieBobbyBrown RayWinstone AngelaBassett ,JuanCarlosFresnadillo,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt.","https://m.media-amazon.com/images/M/MV5BODRiMTA4NGMtOTQzZC00OWFjLWFmODctMjY2ZTcwYjI5NDMyXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UY107_CR7,0,72,107_.jpg"
Oppenheimer,2023,Biography Drama History ,8.3,CillianMurphy EmilyBlunt MattDamon ,ChristopherNolan,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,"https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Late Night with the Devil,2023,Horror ,7.5,DavidDastmalchian LauraGordon IanBliss ,CameronCairnes,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.","https://m.media-amazon.com/images/M/MV5BZDkyNjE0NzMtNTgxYS00MDE4LWI0OWYtZGNmNDcxNjRhMTY3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Gentlemen,2019,Action Crime ,7.8,MatthewMcConaughey CharlieHunnam MichelleDockery ,GuyRitchie,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","https://m.media-amazon.com/images/M/MV5BMTlkMmVmYjktYTc2NC00ZGZjLWEyOWUtMjc2MDMwMjQwOTA5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Winnie-the-Pooh: Blood and Honey 2,2024,Horror Thriller ,5.6,ScottChambers TallulahEvans RyanOliva ,RhysFrake-Waterfield,"Not wanting to live in the shadows any longer, Winnie-the-Pooh, Piglet, Owl, and Tigger take their fight to the town of Ashdown, leaving a bloody trail of death and mayhem in their wake.","https://m.media-amazon.com/images/M/MV5BOTU5MTYyYTAtNDg5Yi00NTc3LWFhMmQtY2VmNzQyZTRiNjJhXkEyXkFqcGdeQXVyMjYwMDA0ODc@._V1_QL75_UY107_CR1,0,72,107_.jpg"
Ricky Stanicky,2024,Comedy ,6.2,ZacEfron JohnCena AndrewSantino ,PeterFarrelly,"When three childhood best friends pull a prank that goes wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, they still use the nonexistent Ricky as a handy alibi for their immature behavior.","https://m.media-amazon.com/images/M/MV5BOTMyYjg2NzMtNmQzZS00YzMxLTkzNDItMTIwODJhZDI1MmY5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Ghostbusters: Afterlife,2021,Adventure Comedy Fantasy ,7,CarrieCoon PaulRudd FinnWolfhard ,JasonReitman,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","https://m.media-amazon.com/images/M/MV5BMTVkNmVlYzItMjNkYy00MGE0LTk4MmQtOTFmNTUyYzg2NGEzXkEyXkFqcGdeQXVyMTI0NTA1MDI3._V1_QL75_UX72_CR0,0,72,107_.jpg"
Unfrosted,2024,Biography Comedy History ,,,,"In 1963 Michigan, business rivals Kellogg's and Post compete to create a cake that could change breakfast forever.","https://m.media-amazon.com/images/M/MV5BZjIyOTBmNzEtY2YxNC00YzgyLTgxZGYtOWM4NTYwNmZkNzA1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Love Lies Bleeding,2024,Action Adventure Crime ,7.3,AnnaBaryshnikov KristenStewart DaveFranco ,RoseGlass,"Gym manager Lou falls for Jackie, a bodybuilder who is passing through town en route to a competition in Las Vegas.","https://m.media-amazon.com/images/M/MV5BZTA1Y2Q0N2QtNjU2Yi00MTMxLWI4NmUtMWFjNzRkNzU1ODRhXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_QL75_UX72_CR0,1,72,107_.jpg"
Wonka,2023,Adventure Comedy Family ,7,TimothéeChalamet GustaveDie MurrayMcArthur ,PaulKing,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.","https://m.media-amazon.com/images/M/MV5BNDM4NTk0NjktZDJhMi00MmFmLTliMzEtN2RkZDY2OTNiMDgzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UY107_CR7,0,72,107_.jpg"
Alien: Romulus,2024,Horror Sci-Fi ,,,,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.","https://m.media-amazon.com/images/M/MV5BYWI1YzdlZTUtNzExYi00MmYxLTg5OWUtNzhkMDhhOWMwM2Y5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Anyone But You,2023,Comedy Romance ,6.2,SydneySweeney GlenPowell AlexandraShipp ,WillGluck,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.","https://m.media-amazon.com/images/M/MV5BOTVhZGU2OWQtNDM1Ni00MzM3LTgzYjgtOTEwYzQzOWZjNTIyXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_QL75_UX72_CR0,0,72,107_.jpg"
Beetlejuice,1988,Comedy Fantasy ,7.5,AlecBaldwin GeenaDavis MichaelKeaton ,TimBurton,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.","https://m.media-amazon.com/images/M/MV5BZDdmNjBlYTctNWU0MC00ODQxLWEzNDQtZGY1NmRhYjNmNDczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Madame Web,2024,Action Adventure Sci-Fi ,3.8,DakotaJohnson SydneySweeney IsabelaMerced ,S.J.Clarkson,"Cassandra Webb is a New York metropolis paramedic who begins to demonstrate signs of clairvoyance. Forced to challenge revelations about her past, she needs to safeguard three young women from a deadly adversary who wants them destroyed.","https://m.media-amazon.com/images/M/MV5BYWJkY2Q4NmYtOGRlMi00YTg5LWE2ZmQtY2NkYzk3YTRmNWZlXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_QL75_UX72_CR0,0,72,107_.jpg"
Bad Boys: Ride or Die,2024,Action Adventure Comedy ,,,,"This Summer, the world's favorite Bad Boys are back with their iconic mix of edge-of-your seat action and outrageous comedy but this time with a twist: Miami's finest are now on the run.","https://m.media-amazon.com/images/M/MV5BOWFhMWM5ZjUtOTNmYi00MjEwLThhZTctNzIxOTNjYzEyYjM2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Ghostbusters,1984,Action Comedy Fantasy ,7.8,BillMurray DanAykroyd SigourneyWeaver ,IvanReitman,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.","https://m.media-amazon.com/images/M/MV5BZmYxNzdiMGItMDNlMS00ZWYyLWIwOTItZDcyMTNiNTZiMzJhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Monkey Man,2024,Action Thriller ,7.4,DevPatel SharltoCopley Pitobash ,DevPatel,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systemically victimize the poor and powerless.,"https://m.media-amazon.com/images/M/MV5BNzZlODVjMzgtZGM1Yi00MWMwLTkyYTQtMzJlZjQ4MDgwYzg4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,4,72,107_.jpg"
Civil War,2024,Action ,7.2,NickOfferman KirstenDunst WagnerMoura ,AlexGarland,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.","https://m.media-amazon.com/images/M/MV5BYTYyODhlODktYjUzNC00NjUyLWI1MzYtNmI0MTY3YTUxYjY2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Kinds of Kindness,2024,Comedy Drama ,,,,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning and a woman's quest to locate an extraordinary individual prophesied to become a renowned spiritual guide.","https://m.media-amazon.com/images/M/MV5BYTk4M2MzZWYtNjkxYS00MWU4LWJjNDItM2M1MTNhNWUyYjcyXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UY107_CR7,0,72,107_.jpg"
Irish Wish,2024,Comedy Fantasy Romance ,5.2,LindsayLohan EdSpeleers AlexanderVlahos ,JaneenDamian,"When the love of Maddie's life gets engaged to her best friend, she puts her feelings aside to be a bridesmaid at their wedding in Ireland.","https://m.media-amazon.com/images/M/MV5BOTlhYzQ1YmEtYTljNi00YTY3LTg3NzMtNzU0MmFkZGM4YmJiXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UY107_CR7,0,72,107_.jpg"
Imaginary,2024,Horror Mystery Thriller ,4.7,DeWandaWise TaegenBurns PyperBraun ,JeffWadlow,A woman returns to her childhood home to discover that the imaginary friend she left behind is very real and unhappy that she abandoned him.,"https://m.media-amazon.com/images/M/MV5BODIzOTJiODUtNzM2MC00YjdjLTg5YTktZWZhNjY1N2I5NWRjXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_QL75_UX72_CR0,2,72,107_.jpg"
Argylle,2024,Action Comedy Thriller ,5.7,HenryCavill BryceDallasHoward SamRockwell ,MatthewVaughn,"A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes the plot of the new book she's writing starts to mirror real-world events, in real time.","https://m.media-amazon.com/images/M/MV5BZDM3YTg4MGUtZmUxNi00YmEyLTllNTctNjYyNjZlZGViNmFhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,4,72,107_.jpg"
Dune,1984,Action Adventure Sci-Fi ,6.3,KyleMacLachlan VirginiaMadsen FrancescaAnnis ,DavidLynch,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,"https://m.media-amazon.com/images/M/MV5BYTAzYzNlMDMtMGRjYS00M2UxLTk0MmEtYmE4YWZiYmEwOTIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX72_CR0,3,72,107_.jpg"
American Fiction,2023,Comedy Drama ,7.6,JeffreyWright TraceeEllisRoss JohnOrtiz ,CordJefferson,A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.,"https://m.media-amazon.com/images/M/MV5BZDlkZmRlYTctNGJmNy00MjVkLThjZDQtMWY5Zjg2NjlhZDZkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Top Gun: Maverick,2022,Action Drama ,8.2,TomCruise JenniferConnelly MilesTeller ,JosephKosinski,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","https://m.media-amazon.com/images/M/MV5BZWYzOGEwNTgtNWU3NS00ZTQ0LWJkODUtMmVhMjIwMjA1ZmQwXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Beekeeper,2024,Action Thriller ,6.4,JasonStatham EmmyRaver-Lampman BobbyNaderi ,DavidAyer,"One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers.""","https://m.media-amazon.com/images/M/MV5BZjQwYjU3OTYtMWVhMi00N2Y2LWEzMDgtMzViN2U4NWI1NmI3XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Barbie,2023,Adventure Comedy Fantasy ,6.8,MargotRobbie RyanGosling IssaRae ,GretaGerwig,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.","https://m.media-amazon.com/images/M/MV5BNjU3N2QxNzYtMjk1NC00MTc4LTk1NTQtMmUxNTljM2I0NDA5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Iron Claw,2023,Biography Drama Sport ,7.7,ZacEfron JeremyAllenWhite HarrisDickinson ,SeanDurkin,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.","https://m.media-amazon.com/images/M/MV5BOGE5NjllZTEtMGJjNy00ZTFmLThlNDItNmNiZTgyOTQ4OTA2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Holdovers,2023,Comedy Drama ,7.9,PaulGiamatti Da'VineJoyRandolph DominicSessa ,AlexanderPayne,A cranky history teacher at a prep school is forced to remain on campus over the holidays with a grieving cook and a troubled student who has no place to go.,"https://m.media-amazon.com/images/M/MV5BNDc2MzNkMjMtZDY5NC00NmQ0LWI1NjctZjRhNWIzZjc4MGRiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Ministry of Ungentlemanly Warfare,2024,Action Drama War ,,,,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,"https://m.media-amazon.com/images/M/MV5BOWI5YTlkNTktOTJlMC00MmYyLThkNzQtYmExOGZkZDE1ZjgwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Spaceman,2024,Adventure Drama Sci-Fi ,5.7,AdamSandler CareyMulligan PaulDano ,JohanRenck,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship.","https://m.media-amazon.com/images/M/MV5BMGMyNDg2ZjItMzk5MC00NzJmLTlmMDgtMmFjNjFmODg5ZTY5XkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_QL75_UX72_CR0,1,72,107_.jpg"
Red Eye,2005,Thriller ,6.5,RachelMcAdams CillianMurphy BrianCox ,WesCraven,"A woman is kidnapped by a stranger on a routine flight. Threatened by the potential murder of her father, she is pulled into a plot to assist her captor in a political assassination.","https://m.media-amazon.com/images/M/MV5BNzAxNjc1ODczOF5BMl5BanBnXkFtZTcwMjE3MjEzMw@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Dream Scenario,2023,Comedy Horror ,7,LilyBird NicolasCage JulianneNicholson ,KristofferBorgli,An ordinary family man finds his life turned upside down when strangers suddenly start seeing him in their dreams.,"https://m.media-amazon.com/images/M/MV5BZDI4MjI1YmYtYzg1Ny00MWQzLWIwNTgtNmFkMWNhYTYzYjdkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,1,72,107_.jpg"
Saltburn,2023,Drama Thriller ,7,BarryKeoghan JacobElordi RosamundPike ,EmeraldFennell,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten.","https://m.media-amazon.com/images/M/MV5BM2NmMDQ1ZWEtNDU4OS00MGIxLWEyMGMtMTM2YmFkYzNhYmMxXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Crow,2024,Action Crime Fantasy ,,,,"Soulmates Eric Draven and Shelly Webster are brutally murdered. Given the chance to save his true love by sacrificing himself, Eric sets out to seek revenge, traversing the worlds of the living and the dead to put the wrong things right.","https://m.media-amazon.com/images/M/MV5BNTNhOTQ3YjMtZGZhNS00NTE0LWEzZGEtYWJhOTU0ZWQ5MTg2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Ordinary Angels,2024,Drama ,7.5,HilarySwank AlanRitchson EmilyMitchell ,JonGunn,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.,"https://m.media-amazon.com/images/M/MV5BYmY2YmEyYTItYjA4Yy00MTNmLTg1ZDgtNjFlM2QzMDI4MTM2XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX72_CR0,1,72,107_.jpg"
All of Us Strangers,2023,Drama Fantasy Romance ,7.7,AndrewScott PaulMescal CarterJohnGrout ,AndrewHaigh,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.,"https://m.media-amazon.com/images/M/MV5BZmYzMjMzN2EtMGYwNi00ODc3LWI3YTctMjA5YjI1MGFkYTlhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Killers of the Flower Moon,2023,Crime Drama History ,7.6,LeonardoDiCaprio RobertDeNiro LilyGladstone ,MartinScorsese,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.","https://m.media-amazon.com/images/M/MV5BMTdiOTg2YmQtZTdjNi00NGJjLWI2ZTQtYWNkNDUwMDEzOTQxXkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Mean Girls,2024,Comedy Musical ,5.7,AngourieRice ReneéRapp Auli'iCravalho ,SamanthaJayne,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","https://m.media-amazon.com/images/M/MV5BNDExMGMyN2QtYjRkZC00Yzk1LTkzMDktMTliZTI5NjQ0NTNkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UY107_CR3,0,72,107_.jpg"
Bob Marley: One Love,2024,Biography Drama Music ,6.4,KingsleyBen-Adir LashanaLynch JamesNorton ,ReinaldoMarcusGreen,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music.","https://m.media-amazon.com/images/M/MV5BY2U4M2NmY2ItMjAyNC00NzM1LTg3ZTEtNzVlYjEzNTE5NDI5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Interstellar,2014,Adventure Drama Sci-Fi ,8.7,MatthewMcConaughey AnneHathaway JessicaChastain ,ChristopherNolan,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Challengers,2024,Drama Romance Sport ,,,,"Tashi, a former tennis prodigy turned coach is married to a champion on a losing streak. Her strategy for her husband's redemption takes a surprising turn when he must face off against his former best friend and Tashi's former boyfriend.","https://m.media-amazon.com/images/M/MV5BNTk1MTdmYzctNzlkOS00ZTNmLWI4ZTMtMzc3OWFkMDI0MTJkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Fall Guy,2024,Action Comedy Drama ,7.5,AaronTaylor-Johnson RyanGosling EmilyBlunt ,DavidLeitch,A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.,"https://m.media-amazon.com/images/M/MV5BMzkwOGUxYzctZDRlZS00YmZkLTk2YjktMGNlYmI1NjQ5NzljXkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_QL75_UX72_CR0,4,72,107_.jpg"
On the Line,2022,Thriller ,5.4,MelGibson WilliamMoseley AliaSeror-O'Neill ,RomualdBoulanger,"A host takes a call, where an unknown person threatens to kill the showman's entire family on air. To save loved ones, the radio host will have to play a survival game and the only way to win is to find out the identity of the criminal.","https://m.media-amazon.com/images/M/MV5BYjAzMmFlMGMtNzQ4Mi00NGM1LTk4MzYtOGNjYzczNzUyNmU5XkEyXkFqcGdeQXVyMjAxMDczOTQ@._V1_QL75_UY107_CR4,0,72,107_.jpg"
You'll Never Find Me,2023,Horror Thriller ,5.9,BrendanRock JordanCowan ElenaCarapetis ,JosiahAllen,"Patrick, a strange and lonely resident, lives in a mobile home at the back of an isolated trailer park. After a violent storm, a mysterious young woman appears at his door seeking shelter from the elements.","https://m.media-amazon.com/images/M/MV5BOWIwMDM0OWUtZTRlYS00NTA5LWFjOWYtYTQ1MjQ1MmM3NGIwXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,1,72,107_.jpg"
Leave the World Behind,2023,Drama Mystery Thriller ,6.5,JuliaRoberts MahershalaAli EthanHawke ,SamEsmail,"A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices, and two strangers appear at their door.","https://m.media-amazon.com/images/M/MV5BMTUzM2I3NDEtMjNhYi00NTQ0LThmZDItZTMyMzM2MjJmZGRjXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_QL75_UX72_CR0,1,72,107_.jpg"
Arthur the King,2024,Adventure ,7.2,MarkWahlberg SimuLiu JulietRylance ,SimonCellanJones,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.,"https://m.media-amazon.com/images/M/MV5BNzMzMDNhZWYtZDE4ZC00MTg5LWJiZWEtZjU2OGM2ZjMzM2I1XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Shirley,2024,Biography Drama History ,6.3,ReginaKing LanceReddick TerrenceHoward ,JohnRidley,Shirley Chisholm makes a trailblazing run for the 1972 Democratic presidential nomination after becoming the first Black woman elected to Congress.,"https://m.media-amazon.com/images/M/MV5BMDI1NGRiZjYtZmQwMS00NTkyLWI1MjAtZmQ1ZWU4YWI2Y2VjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UY107_CR2,0,72,107_.jpg"
The First Omen,2024,Horror ,7,NellTigerFree RalphIneson SoniaBraga ,ArkashaStevenson,"A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.","https://m.media-amazon.com/images/M/MV5BMzI2YmYwZWYtNzgzNi00ODU2LWE1NWMtZmY4NTJjYzIyNTIxXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX72_CR0,0,72,107_.jpg"
One Life,2023,Biography Drama History ,7.6,AnthonyHopkins LenaOlin JohnnyFlynn ,JamesHawes,"Sir Nicholas 'Nicky' Winton, a young London broker who, in the months leading up to World War II, rescued over 600 children from Nazi-occupied Czechoslovakia.","https://m.media-amazon.com/images/M/MV5BNGU1OTFhMmItNDcyMS00ODEyLWE4NmQtMjFhZjExNmU1OTQ4XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX72_CR0,0,72,107_.jpg"
Godzilla vs. Kong,2021,Action Sci-Fi Thriller ,6.3,AlexanderSkarsgård MillieBobbyBrown RebeccaHall ,AdamWingard,The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.,"https://m.media-amazon.com/images/M/MV5BOTI3NzNhNDItYWY0My00ZmE3LTgxMmYtYzQzZWU2NDcxYzVjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY107_CR0,0,72,107_.jpg"
